genome	biosample	clade	label
GCA_018138025.1_ASM1813802v1	SAMN18063048	I	animal
GCA_018138005.1_ASM1813800v1	SAMN18063042	I	animal
GCA_009914685.3_ASM991468v3	SAMN12710425	I	animal
GCA_018102895.1_PDT001009055.1	SAMN18802450	I	animal
GCA_018102875.1_PDT001009057.1	SAMN18802448	I	animal
GCA_018102855.1_PDT001009056.1	SAMN18802449	I	animal
GCA_018102835.1_PDT001009058.1	SAMN18802446	I	animal
GCA_018102815.1_PDT001009061.1	SAMN18802444	I	animal
GCA_018102795.1_PDT001009060.1	SAMN18802441	I	animal
GCA_018102775.1_PDT001009064.1	SAMN18802445	I	animal
GCA_018102755.1_PDT001009063.1	SAMN18802442	I	animal
GCA_018102735.1_PDT001009068.1	SAMN18802481	I	animal
GCA_018102715.1_PDT001009065.1	SAMN18802486	I	animal
GCA_018102675.1_PDT001009069.1	SAMN18802483	I	animal
GCA_018102695.1_PDT001009066.1	SAMN18802487	I	animal
GCA_018089805.1_PDT000485418.1	SAMN11318664	II	animal
GCA_018089765.1_PDT000485591.1	SAMN11320651	I	animal
GCA_018089605.1_PDT000704629.1	SAMN09685642	I	animal
GCA_018089585.1_PDT000704720.1	SAMN09685673	I	env
GCA_018089565.1_PDT000704889.1	SAMN09685649	I	human
GCA_018089545.1_PDT000705318.1	SAMN10039039	II	human
GCA_018089415.1_PDT000471067.1	SAMN11041624	I	animal
GCA_018089385.1_PDT000471079.1	SAMN11041616	II	food
GCA_018089365.1_PDT000471077.1	SAMN11041630	II	food
GCA_018089325.1_PDT000481390.1	SAMN11234158	II	food
GCA_018089305.1_PDT000480644.1	SAMN11178694	II	food
GCA_018089275.1_PDT000482537.1	SAMN11252367	II	animal
GCA_018089265.1_PDT000481397.1	SAMN11234144	II	food
GCA_018089245.1_PDT000482538.1	SAMN11252377	II	food
GCA_018089085.1_PDT000494472.1	SAMN11456446	II	food
GCA_018089065.1_PDT000498224.1	SAMN11571849	II	food
GCA_018089025.1_PDT000498235.1	SAMN11571845	II	animal
GCA_018089005.1_PDT000498265.1	SAMN11571859	II	animal
GCA_018088985.1_PDT000498271.1	SAMN11571861	II	animal
GCA_018088805.1_PDT000519784.1	SAMN11982276	II	animal
GCA_018088775.1_PDT000519788.1	SAMN11982281	II	animal
GCA_018088765.1_PDT000522530.1	SAMN12049092	II	animal
GCA_018088745.1_PDT000522539.1	SAMN12049089	II	animal
GCA_018088665.1_PDT000533271.1	SAMN12142795	II	animal
GCA_018088585.1_PDT000704503.1	SAMN08911101	II	human
GCA_018088525.1_PDT000704509.1	SAMN08911085	II	human
GCA_018088445.1_PDT000548960.1	SAMN12358233	II	animal
GCA_018088065.1_PDT000592072.1	SAMN12821467	II	animal
GCA_018088045.1_PDT000592088.1	SAMN12821475	II	food
GCA_018088025.1_PDT000592261.1	SAMN12821462	II	food
GCA_018087945.1_PDT000618768.1	SAMN12768586	II	human
GCA_018087905.1_PDT000619061.1	SAMN12768609	II	human
GCA_018087745.1_PDT000705602.1	SAMN11026156	I	animal
GCA_018087565.1_PDT000683667.1	SAMN14113949	I	animal
GCA_018087465.1_PDT000693966.1	SAMEA3304523	II	na
GCA_018087425.1_PDT000693970.1	SAMEA3304527	II	na
GCA_018087405.1_PDT000694001.1	SAMEA3304558	II	na
GCA_018087385.1_PDT000694025.1	SAMEA3304386	II	na
GCA_018087365.1_PDT000695506.1	SAMEA4412811	I	animal
GCA_018087345.1_PDT000694566.1	SAMEA4360811	I	human
GCA_018087325.1_PDT000696494.1	SAMEA4775540	II	human
GCA_018087305.1_PDT000699513.1	SAMEA5368088	II	human
GCA_018087285.1_PDT000699516.1	SAMEA5368254	II	human
GCA_018087265.1_PDT000699599.1	SAMEA5368281	II	human
GCA_018087245.1_PDT000699607.1	SAMEA5368118	II	human
GCA_018087225.1_PDT000699611.1	SAMEA5368517	II	human
GCA_018087205.1_PDT000699627.1	SAMEA5367927	II	human
GCA_018087185.1_PDT000699629.1	SAMEA5368003	II	human
GCA_018087165.1_PDT000699636.1	SAMEA5368039	II	human
GCA_018087145.1_PDT000699676.1	SAMEA5368092	II	human
GCA_018087125.1_PDT000699679.1	SAMEA5368096	II	human
GCA_018087105.1_PDT000699865.1	SAMEA5368123	II	human
GCA_018087085.1_PDT000699869.1	SAMEA5368176	II	human
GCA_018087065.1_PDT000699871.1	SAMEA5368180	II	human
GCA_018087045.1_PDT000699874.1	SAMEA5368172	II	human
GCA_018087025.1_PDT000699879.1	SAMEA5368194	II	human
GCA_018087005.1_PDT000699880.1	SAMEA5368163	II	human
GCA_018086985.1_PDT000699881.1	SAMEA5368161	II	human
GCA_018086965.1_PDT000699947.1	SAMEA5368304	II	human
GCA_018086945.1_PDT000699965.1	SAMEA5368219	II	human
GCA_018086925.1_PDT000700075.1	SAMEA5368743	II	human
GCA_018086905.1_PDT000700117.1	SAMEA5368498	II	human
GCA_018086885.1_PDT000700089.1	SAMEA5368574	II	human
GCA_018086865.1_PDT000700119.1	SAMEA5368460	II	human
GCA_018086845.1_PDT000700146.1	SAMEA5368431	II	human
GCA_018086825.1_PDT000700183.1	SAMEA5368349	II	human
GCA_018086805.1_PDT000700140.1	SAMEA5368452	II	human
GCA_018086785.1_PDT000700229.1	SAMEA5368367	II	human
GCA_018086765.1_PDT000700235.1	SAMEA5368369	II	human
GCA_018086745.1_PDT000700310.1	SAMEA5368629	II	human
GCA_018086725.1_PDT000700448.1	SAMEA5367957	II	human
GCA_018086705.1_PDT000700357.1	SAMEA5368635	II	human
GCA_018086685.1_PDT000700793.1	SAMEA2161506	II	human
GCA_018086665.1_PDT000700980.1	SAMEA2155929	II	human
GCA_018086645.1_PDT000700913.1	SAMEA2142396	II	human
GCA_018086625.1_PDT000701025.1	SAMEA2162012	II	human
GCA_018086605.1_PDT000700989.1	SAMEA2150231	II	human
GCA_018086585.1_PDT000701057.1	SAMEA2157128	II	human
GCA_018086565.1_PDT000701339.1	SAMEA2159898	II	human
GCA_018086545.1_PDT000701357.1	SAMEA2145638	II	human
GCA_018086505.1_PDT000701476.1	SAMEA2162388	II	human
GCA_018086515.1_PDT000701370.1	SAMEA2161165	II	human
GCA_018086485.1_PDT000701363.1	SAMEA2150428	II	human
GCA_018086465.1_PDT000701517.1	SAMEA2159712	II	na
GCA_018086445.1_PDT000701523.1	SAMEA2162319	II	na
GCA_018086425.1_PDT000701543.1	SAMEA2156146	II	na
GCA_018086405.1_PDT000701529.1	SAMEA2157757	II	na
GCA_018086385.1_PDT000701525.1	SAMEA2156079	II	na
GCA_018086365.1_PDT000701555.1	SAMEA2146331	II	na
GCA_018086345.1_PDT000701567.1	SAMEA2157806	II	na
GCA_018086325.1_PDT000704559.1	SAMN08911073	II	human
GCA_018086285.1_PDT000701573.1	SAMEA2163279	II	na
GCA_018086265.1_PDT000701644.1	SAMEA2159567	II	na
GCA_018086245.1_PDT000701653.1	SAMEA2157951	II	na
GCA_018086225.1_PDT000701700.1	SAMEA2143837	II	na
GCA_018086205.1_PDT000701775.1	SAMEA2151065	II	na
GCA_018086185.1_PDT000701981.1	SAMEA3108606	II	human
GCA_018086165.1_PDT000702187.1	SAMEA3304407	II	na
GCA_018086145.1_PDT000702208.1	SAMEA3304431	II	na
GCA_018086125.1_PDT000702211.1	SAMEA3304434	II	na
GCA_018086105.1_PDT000702336.1	SAMEA3304228	II	na
GCA_018086085.1_PDT000702281.1	SAMEA3304504	II	na
GCA_018086065.1_PDT000702294.1	SAMEA3304517	II	na
GCA_018085985.1_PDT000703477.1	SAMN05449823	II	human
GCA_018085965.1_PDT000703469.1	SAMN05449815	II	human
GCA_018085945.1_PDT000703500.1	SAMN05449808	II	human
GCA_018085925.1_PDT000703518.1	SAMN05449860	II	human
GCA_018085905.1_PDT000703827.1	SAMN05510642	II	human
GCA_018085875.1_PDT000703790.1	SAMN05510608	II	human
GCA_018085865.1_PDT000703522.1	SAMN05449810	II	human
GCA_018085845.1_PDT000703940.1	SAMN05832641	II	human
GCA_018085825.1_PDT000703849.1	SAMN05831067	II	human
GCA_018085805.1_PDT000704032.1	SAMN07816879	II	human
GCA_018085785.1_PDT000704030.1	SAMN07816877	II	human
GCA_018085765.1_PDT000704142.1	SAMN07817019	II	human
GCA_018085745.1_PDT000704186.1	SAMN07816989	II	human
GCA_018085725.1_PDT000704189.1	SAMN07816912	II	human
GCA_018085705.1_PDT000704219.1	SAMN07816983	II	human
GCA_018085685.1_PDT000704552.1	SAMN08911096	II	human
GCA_018085665.1_PDT000704292.1	SAMN08596092	II	human
GCA_018085645.1_PDT000704288.1	SAMN08596198	II	human
GCA_018085605.1_PDT000704310.1	SAMN08595933	II	human
GCA_018085585.1_PDT000704341.1	SAMN08595946	II	human
GCA_018085565.1_PDT000705133.1	SAMN10039054	II	human
GCA_018085545.1_PDT000704515.1	SAMN08911079	II	human
GCA_018085505.1_PDT000705624.1	SAMN11026335	I	animal
GCA_018085445.1_PDT000704476.1	SAMN08596191	II	human
GCA_018085465.1_PDT000704321.1	SAMN08596080	II	human
GCA_018085405.1_PDT000704484.1	SAMN08596189	II	human
GCA_018085415.1_PDT000704439.1	SAMN08596167	II	human
GCA_018084945.1_PDT000740675.1	SAMN07141550	II	human
GCA_018084925.1_PDT000740754.1	SAMN07141563	II	human
GCA_018084905.1_PDT000740681.1	SAMN07141459	II	human
GCA_018084885.1_PDT000740782.1	SAMN07141523	II	human
GCA_018084865.1_PDT000740920.1	SAMN07141342	II	human
GCA_018084845.1_PDT000740827.1	SAMN07141334	II	human
GCA_018084825.1_PDT000741625.1	SAMN12640017	II	human
GCA_018084805.1_PDT000740732.1	SAMN07141421	II	human
GCA_018084785.1_PDT000741657.1	SAMN12639901	II	human
GCA_018084765.1_PDT000741775.1	SAMN12639970	II	human
GCA_018084745.1_PDT000741788.1	SAMN12640129	II	human
GCA_018084725.1_PDT000741825.1	SAMN12640141	II	human
GCA_018084705.1_PDT000741833.1	SAMN12640093	II	human
GCA_018084645.1_PDT000741945.1	SAMN12639988	II	human
GCA_018084685.1_PDT000741944.1	SAMN12639946	II	human
GCA_018084665.1_PDT000741922.1	SAMN12639956	II	human
GCA_018084625.1_PDT000741960.1	SAMN12639492	II	human
GCA_018084605.1_PDT000742157.1	SAMN12639482	II	human
GCA_018084585.1_PDT000742175.1	SAMN12639603	II	human
GCA_018084565.1_PDT000742783.1	SAMN12639734	II	human
GCA_018084545.1_PDT000742957.1	SAMN12640314	II	human
GCA_018084525.1_PDT000743052.1	SAMN12640432	II	human
GCA_018084505.1_PDT000743066.1	SAMN12640530	II	human
GCA_018084485.1_PDT000743132.1	SAMN11027264	II	human
GCA_018084465.1_PDT000743215.1	SAMN11027189	II	human
GCA_018084445.1_PDT000743197.1	SAMN11027205	II	human
GCA_018084425.1_PDT000743223.1	SAMN11027280	II	human
GCA_018084405.1_PDT000744173.1	SAMN14604041	II	human
GCA_018084385.1_PDT000744208.1	SAMN10232980	II	human
GCA_018083885.1_PDT000792252.2	SAMN12220715	I	human
GCA_018083165.1_PDT001007289.1	SAMN18764119	I	animal
GCA_018083105.1_PDT001007292.1	SAMN18764515	I	animal
GCA_018083125.1_PDT001007290.1	SAMN18764114	I	animal
GCA_018083085.1_PDT001007291.1	SAMN18764117	I	animal
GCA_018083065.1_PDT001007294.1	SAMN18764511	I	animal
GCA_018083045.1_PDT001007293.1	SAMN18764513	I	animal
GCA_018083025.1_PDT001007295.1	SAMN18764512	I	animal
GCA_018083005.1_PDT001007297.1	SAMN18764506	I	animal
GCA_018082985.1_PDT001007296.1	SAMN18764510	I	animal
GCA_018082965.1_PDT001007298.1	SAMN18764505	I	animal
GCA_018082945.1_PDT001007302.1	SAMN18764901	I	animal
GCA_018082925.1_PDT001007299.1	SAMN18764507	I	animal
GCA_018082885.1_PDT001007304.1	SAMN18764897	I	animal
GCA_018072965.1_PDT000820225.1	SAMN12916720	II	human
GCA_018072945.1_PDT000820164.1	SAMN12916530	II	human
GCA_018072905.1_PDT000820112.1	SAMN12916576	II	human
GCA_018072865.1_PDT000820326.1	SAMN12916629	II	human
GCA_018072105.1_PDT000820580.1	SAMN15566661	II	human
GCA_018072065.1_PDT000820584.1	SAMN15566658	II	human
GCA_018072085.1_PDT000820333.1	SAMN12916623	II	human
GCA_018072045.1_PDT000820611.1	SAMN15566639	II	human
GCA_018072025.1_PDT000820635.1	SAMN15690861	I	human
GCA_018072925.1_PDT000820297.1	SAMN12916656	II	human
GCA_018070965.1_ASM1807096v1	SAMN12768585	II	human
GCA_018070945.1_ASM1807094v1	SAMN12768582	II	human
GCA_018070925.1_ASM1807092v1	SAMN12768593	II	human
GCA_018070905.1_ASM1807090v1	SAMN12768605	II	human
GCA_018070885.1_ASM1807088v1	SAMN12768606	II	human
GCA_018070855.1_ASM1807085v1	SAMN18082617	II	human
GCA_018070845.1_ASM1807084v1	SAMN12768641	II	human
GCA_018070825.1_ASM1807082v1	SAMN18082631	II	human
GCA_018070805.1_ASM1807080v1	SAMN18082849	II	human
GCA_018070785.1_ASM1807078v1	SAMN18085470	II	human
GCA_018070765.1_ASM1807076v1	SAMN18082723	II	human
GCA_018070725.1_ASM1807072v1	SAMN18085280	II	human
GCA_018070705.1_ASM1807070v1	SAMN18085837	II	human
GCA_018070615.1_ASM1807061v1	SAMN18085923	II	human
GCA_018069825.1_ASM1806982v1	SAMN18653198	II	animal
GCA_018069745.1_ASM1806974v1	SAMN18653197	II	animal
GCA_018060285.1_ASM1806028v1	SAMN18120441	IV	env_human
GCA_018059045.1_ASM1805904v1	SAMN18120500	IV	env_human
GCA_018054325.1_ASM1805432v1	SAMN18120830	II	env_human
GCA_018053825.1_ASM1805382v1	SAMN18120770	IV	env_human
GCA_018040705.1_PDT000865879.1	SAMN14074547	II	human
GCA_018040685.1_PDT000865882.1	SAMN14074526	II	human
GCA_018034025.1_PDT000901979.1	SAMN16984643	II	food
GCA_018025735.1_PDT000942789.1	SAMN17377688	II	human
GCA_018025715.1_PDT000942785.1	SAMN17377763	II	human
GCA_018025695.1_PDT000942893.1	SAMN17378707	II	human
GCA_018025675.1_PDT000942790.1	SAMN17377759	II	human
GCA_018021095.1_PDT000968313.1	SAMN17922579	II	human
GCA_018021075.1_PDT000968327.1	SAMN17922566	II	human
GCA_018021035.1_PDT000968339.1	SAMN17922473	II	human
GCA_018021045.1_PDT000968337.1	SAMN17922555	II	human
GCA_018021015.1_PDT000968344.1	SAMN17922549	II	human
GCA_018020995.1_PDT000968360.1	SAMN17922638	II	human
GCA_018020975.1_PDT000968485.1	SAMN17922526	II	human
GCA_018020955.1_PDT000968498.1	SAMN17922514	II	human
GCA_018020495.1_PDT000976579.1	SAMN15088185	II	human
GCA_018018055.1_PDT000987209.1	SAMN18378905	I	animal
GCA_018017375.1_PDT000991330.1	SAMN18510702	II	food
GCA_018016535.1_PDT000995084.1	SAMN18082676	II	human
GCA_018016515.1_PDT000995114.1	SAMN18082984	II	human
GCA_018016195.1_PDT000995440.1	SAMN18082750	II	human
GCA_018016035.1_PDT000996266.1	SAMN18324253	II	human
GCA_018015995.1_PDT000996489.1	SAMN18324052	II	human
GCA_018015975.1_PDT000996589.1	SAMN18324498	II	human
GCA_018015955.1_PDT000996613.1	SAMN18324476	II	human
GCA_018015935.1_PDT000996797.1	SAMN18324311	II	human
GCA_018015915.1_PDT000996720.1	SAMN18324380	II	human
GCA_018015895.1_PDT000996841.1	SAMN18324806	II	human
GCA_018003575.1_ASM1800357v1	SAMN18118991	IV	env_human
GCA_017994305.1_ASM1799430v1	SAMN18120120	IV	env_human
GCA_017987595.1_ASM1798759v1	SAMN18119682	IV	env_human
GCA_017980455.1_PDT000702217.1	SAMEA3304440	II	na
GCA_017979245.1_PDT000701467.1	SAMEA2160036	II	human
GCA_017979205.1_PDT000704468.1	SAMN08596071	II	human
GCA_017979185.1_PDT000693989.1	SAMEA3304546	II	na
GCA_017978765.1_PDT000494488.1	SAMN11456460	II	animal
GCA_017978685.1_PDT000704560.1	SAMN08911068	II	human
GCA_017978645.1_PDT000709790.1	SAMN14385886	I	animal
GCA_017976845.1_PDT000519798.1	SAMN11982286	II	animal
GCA_017976825.1_PDT000701767.1	SAMEA2147561	II	na
GCA_017976805.1_PDT000699596.1	SAMEA5368355	II	human
GCA_017976785.1_PDT000701931.1	SAMEA3108556	II	human
GCA_017976765.1_PDT000702205.1	SAMEA3304428	II	na
GCA_017976745.1_PDT000703526.1	SAMN05449867	II	human
GCA_017976725.1_PDT000703941.1	SAMN05832642	II	human
GCA_017976685.1_PDT000741814.1	SAMN12640108	II	human
GCA_017976645.1_PDT000741872.1	SAMN12639950	II	human
GCA_017976665.1_PDT000741868.1	SAMN12640019	II	human
GCA_017976625.1_PDT000820254.1	SAMN12916694	II	human
