	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
GCA_001878755.1_ASM187875v1	Firmicutes (1)	1349	172	99	100.0	0.0	0.0	2983064	0	2	2	2917796	2917796	1491532	1491532	2917796	2917796	37.3	2.42	87.12	11	2800	0	172	0	0	0	0
GCA_001895905.1_ASM189590v1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3242672	0	4	4	2933966	2933966	810668	810668	2933966	2933966	37.9	2.39	84.28	11	3120	1	170	1	0	0	0
GCA_009498175.3_ASM949817v3	Firmicutes (1)	1349	172	99	98.99	0.03	0.0	2981602	0	3	3	2804126	2804126	993867	993867	2804126	2804126	37.5	2.22	87.71	11	2810	1	170	1	0	0	0
GCA_009659745.1_ASM965974v1	Firmicutes (1)	1349	172	99	98.99	1.26	0.0	2965032	783	174	183	592501	305282	17040	16198	851492	851492	37.9	8.49	87.61	11	2862	1	169	2	0	0	0
GCA_009917315.1_ASM991731v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2747187	0	89	89	118710	118710	30867	30867	287550	287550	38.9	3.92	86.73	11	2752	1	171	0	0	0	0
GCA_017701305.1_PDT000996839.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3084204	0	218	218	34330	34330	14147	14147	180987	180987	37.6	3.85	85.58	11	3026	1	170	1	0	0	0
GCA_017701355.1_PDT000996836.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3082846	0	207	207	39223	39223	14892	14892	180877	180877	37.6	3.9	85.62	11	3015	1	171	0	0	0	0
GCA_017701375.1_PDT000996996.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3069564	0	226	226	37551	37551	13582	13582	116033	116033	37.6	3.8	85.61	11	3030	1	169	2	0	0	0
GCA_017701395.1_PDT000996835.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2972314	0	200	200	34959	34959	14861	14861	130382	130382	37.7	3.82	85.42	11	2933	1	171	0	0	0	0
GCA_017701415.1_PDT000996931.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3053117	0	193	193	32556	32556	15819	15819	148316	148316	37.7	3.45	85.78	11	3010	1	168	3	0	0	0
GCA_017701435.1_PDT000996925.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3085775	0	231	231	38001	38001	13358	13358	180987	180987	37.6	3.97	85.59	11	3032	1	169	2	0	0	0
GCA_017701455.1_PDT000996900.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3091572	0	225	225	35398	35398	13740	13740	180987	180987	37.6	3.92	85.65	11	3031	1	168	3	0	0	0
GCA_017701475.1_PDT000996873.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3066489	0	264	264	28274	28274	11615	11615	167660	167660	37.6	3.77	85.83	11	3044	1	171	0	0	0	0
GCA_017701495.1_PDT000996865.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	3086385	0	204	204	34780	34780	15129	15129	148589	148589	37.5	3.5	85.66	11	3066	1	165	6	0	0	0
GCA_017701515.1_PDT000996858.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3070002	0	168	168	47396	47396	18273	18273	130071	130071	38.0	3.86	85.76	11	3037	1	171	0	0	0	0
GCA_017701535.1_PDT000996828.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3090555	0	237	237	55505	55505	13040	13040	110875	110875	37.7	3.96	85.41	11	3104	1	171	0	0	0	0
GCA_017701555.1_PDT000996833.1	Firmicutes (1)	1349	172	99	98.99	0.51	100.0	3323033	0	333	333	34687	34687	9979	9979	148628	148628	37.5	3.49	85.48	11	3420	1	170	1	0	0	0
GCA_017701575.1_PDT000996831.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2980494	0	199	199	37648	37648	14977	14977	107513	107513	37.7	3.99	85.47	11	2906	1	171	0	0	0	0
GCA_017701595.1_PDT000996820.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2863342	0	377	377	15376	15376	7595	7595	56561	56561	37.9	3.41	86.25	11	2877	1	171	0	0	0	0
GCA_017701615.1_PDT000996830.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3009843	0	198	198	55504	55504	15201	15201	112928	112928	37.7	4.15	85.46	11	2985	1	171	0	0	0	0
GCA_017701635.1_PDT000996821.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3059901	0	216	216	34789	34789	14166	14166	148122	148122	37.7	3.51	85.6	11	3028	1	168	3	0	0	0
GCA_017701655.1_PDT000996816.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3054813	0	241	241	34330	34330	12675	12675	180797	180797	37.6	3.96	85.72	11	3015	1	171	0	0	0	0
GCA_017701675.1_PDT000996815.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3094711	0	218	218	34962	34962	14195	14195	148638	148638	37.7	3.37	85.61	11	3061	1	165	6	0	0	0
GCA_017701695.1_PDT000996819.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3128729	0	191	191	34962	34962	16380	16380	124910	124910	37.7	3.15	85.57	11	3093	1	168	3	0	0	0
GCA_017701715.1_PDT000996811.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3077358	0	245	245	34330	34330	12560	12560	162353	162353	37.6	3.72	85.73	11	3032	1	169	2	0	0	0
GCA_017701735.1_PDT000996801.1	Firmicutes (1)	1349	172	99	98.99	8.08	100.0	3114704	0	219	219	28603	28603	14222	14222	148073	148073	37.8	3.17	85.97	11	3079	1	162	9	0	0	0
GCA_017701755.1_PDT000996810.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3073800	0	219	219	34687	34687	14035	14035	149443	149443	37.6	3.52	85.67	11	3055	1	169	2	0	0	0
GCA_017701775.1_PDT000996803.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3018284	0	353	353	17039	17039	8550	8550	75718	75718	37.7	3.94	86.18	11	3012	1	171	0	0	0	0
GCA_017701795.1_PDT000996799.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3026794	0	258	258	34330	34330	11731	11731	173472	173472	37.6	3.84	85.74	11	2984	1	171	0	0	0	0
GCA_017701815.1_PDT000996798.1	Firmicutes (1)	1349	172	99	98.99	1.01	0.0	3122902	0	244	244	34771	34771	12798	12798	148638	148638	37.5	3.41	85.66	11	3139	1	170	1	0	0	0
GCA_017701835.1_PDT000996796.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3129396	0	234	234	37016	37016	13373	13373	148638	148638	37.5	3.53	85.66	11	3138	1	171	0	0	0	0
GCA_017701855.1_PDT000996795.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3061037	0	235	235	32533	32533	13025	13025	148137	148137	37.7	3.33	85.61	11	3033	1	171	0	0	0	0
GCA_017701875.1_PDT000996794.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3047834	0	232	232	35398	35398	13137	13137	180795	180795	37.6	3.67	85.57	11	3001	1	171	0	0	0	0
GCA_017701895.1_PDT000996791.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3076091	0	287	287	24337	24337	10718	10718	128146	128146	37.6	3.67	85.9	11	3049	1	171	0	0	0	0
GCA_017701915.1_PDT000996790.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3129211	0	231	231	34688	34688	13546	13546	115907	115907	37.6	3.17	85.75	11	3127	1	171	0	0	0	0
GCA_017701935.1_PDT000996789.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3134656	0	228	228	34963	34963	13748	13748	148624	148624	37.6	3.36	85.62	11	3130	1	171	0	0	0	0
GCA_017701955.1_PDT000996786.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3048441	0	295	295	23261	23261	10333	10333	95907	95907	37.6	3.5	85.8	11	3026	1	171	0	0	0	0
GCA_017701975.1_PDT000996785.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3066745	0	242	242	34869	34869	12672	12672	141372	141372	37.6	3.93	85.58	11	3016	1	171	0	0	0	0
GCA_017701995.1_PDT000996782.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2999673	0	267	267	23441	23441	11234	11234	73906	73906	37.6	3.46	85.81	11	2967	1	171	0	0	0	0
GCA_017702015.1_PDT000996779.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3083538	0	292	292	23675	23675	10560	10560	128960	128960	37.6	3.48	85.84	11	3084	1	171	0	0	0	0
GCA_017702035.1_PDT000996780.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3064644	0	232	232	37212	37212	13209	13209	180987	180987	37.6	3.87	85.58	11	3020	1	171	0	0	0	0
GCA_017702055.1_PDT000996775.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3084224	0	254	254	31648	31648	12142	12142	128951	128951	37.6	3.98	85.76	11	3037	1	169	2	0	0	0
GCA_017702075.1_PDT000996774.1	Firmicutes (1)	1349	172	99	98.99	0.51	100.0	3065207	0	269	269	31194	31194	11394	11394	180795	180795	37.6	3.56	85.69	11	3031	1	170	1	0	0	0
