genome	species	repgenome	repgenome_n50	repgenome_dataset	label	clade
GCA_018138025.1_ASM1813802v1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	2387837	ncbi	animal	I
GCA_018138005.1_ASM1813800v1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	765199	ncbi	animal	I
GCA_009914685.3_ASM991468v3	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	2355983	ncbi	animal	I
GCA_018102895.1_PDT001009055.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	82784	ncbi	animal	I
GCA_018102875.1_PDT001009057.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	103548	ncbi	animal	I
GCA_018102855.1_PDT001009056.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	83003	ncbi	animal	I
GCA_018102835.1_PDT001009058.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	119036	ncbi	animal	I
GCA_018102815.1_PDT001009061.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	123486	ncbi	animal	I
GCA_018102795.1_PDT001009060.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	146280	ncbi	animal	I
GCA_018102775.1_PDT001009064.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	75392	ncbi	animal	I
GCA_018102755.1_PDT001009063.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	132462	ncbi	animal	I
GCA_018102735.1_PDT001009068.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	78964	ncbi	animal	I
GCA_018102715.1_PDT001009065.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	105017	ncbi	animal	I
GCA_018102675.1_PDT001009069.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	106533	ncbi	animal	I
GCA_018102695.1_PDT001009066.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	67931	ncbi	animal	I
GCA_018089805.1_PDT000485418.1	Enterococcus hirae	GCA_013391205.1_ASM1339120v1	22257	ncbi	animal	II
GCA_018089765.1_PDT000485591.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	162423	ncbi	animal	I
GCA_018089605.1_PDT000704629.1	Enterococcus faecalis OG1RF	GCA_905120565.1_26975_1_52	266054	ncbi	animal	I
