genome	completeness	contamination	strain_heterogeneity	genome_size	phylosift_flag	n50	num_comp	dataset
GCA_001878755.1_ASM187875v1	100.0	0.0	0.0	2983064	0.0	2917796	2	ncbi
GCA_001895905.1_ASM189590v1	98.99	1.01	100.0	3242672	0.0	2933966	4	ncbi
GCA_009498175.3_ASM949817v3	98.99	0.03	0.0	2981602	0.0	2804126	3	ncbi
GCA_009659745.1_ASM965974v1	98.99	1.26	0.0	2965032	0.0	592501	174	ncbi
GCA_009917315.1_ASM991731v1	98.99	0.0	0.0	2747187	0.0	118710	89	ncbi
GCA_017701305.1_PDT000996839.1	98.99	1.01	100.0	3084204	0.0	34330	218	ncbi
GCA_017701355.1_PDT000996836.1	98.99	0.0	0.0	3082846	0.0	39223	207	ncbi
GCA_017701375.1_PDT000996996.1	98.99	1.01	100.0	3069564	0.0	37551	226	ncbi
GCA_017701395.1_PDT000996835.1	98.99	0.0	0.0	2972314	0.0	34959	200	ncbi
GCA_017701415.1_PDT000996931.1	98.99	3.03	100.0	3053117	1.0	32556	193	ncbi
GCA_017701435.1_PDT000996925.1	98.99	1.01	100.0	3085775	0.0	38001	231	ncbi
GCA_017701455.1_PDT000996900.1	98.99	2.02	100.0	3091572	0.0	35398	225	ncbi
GCA_017701475.1_PDT000996873.1	98.99	0.0	0.0	3066489	0.0	28274	264	ncbi
GCA_017701495.1_PDT000996865.1	98.99	5.05	100.0	3086385	1.0	34780	204	ncbi
GCA_017701515.1_PDT000996858.1	98.99	0.0	0.0	3070002	0.0	47396	168	ncbi
GCA_017701535.1_PDT000996828.1	98.99	0.0	0.0	3090555	0.0	55505	237	ncbi
GCA_017701555.1_PDT000996833.1	98.99	0.51	100.0	3323033	0.0	34687	333	ncbi
GCA_017701575.1_PDT000996831.1	98.99	0.0	0.0	2980494	0.0	37648	199	ncbi
GCA_017701595.1_PDT000996820.1	98.99	0.0	0.0	2863342	0.0	15376	377	ncbi
GCA_017701615.1_PDT000996830.1	98.99	0.0	0.0	3009843	0.0	55504	198	ncbi
GCA_017701635.1_PDT000996821.1	98.99	1.01	100.0	3059901	0.0	34789	216	ncbi
GCA_017701655.1_PDT000996816.1	98.99	0.0	0.0	3054813	0.0	34330	241	ncbi
GCA_017701675.1_PDT000996815.1	98.99	4.04	100.0	3094711	0.0	34962	218	ncbi
GCA_017701695.1_PDT000996819.1	98.99	3.03	100.0	3128729	1.0	34962	191	ncbi
GCA_017701715.1_PDT000996811.1	98.99	1.01	100.0	3077358	0.0	34330	245	ncbi
GCA_017701735.1_PDT000996801.1	98.99	8.08	100.0	3114704	1.0	28603	219	ncbi
GCA_017701755.1_PDT000996810.1	98.99	2.02	100.0	3073800	1.0	34687	219	ncbi
GCA_017701775.1_PDT000996803.1	98.99	0.0	0.0	3018284	0.0	17039	353	ncbi
GCA_017701795.1_PDT000996799.1	98.99	0.0	0.0	3026794	0.0	34330	258	ncbi
GCA_017701815.1_PDT000996798.1	98.99	1.01	0.0	3122902	0.0	34771	244	ncbi
GCA_017701835.1_PDT000996796.1	98.99	0.0	0.0	3129396	0.0	37016	234	ncbi
GCA_017701855.1_PDT000996795.1	98.99	0.0	0.0	3061037	0.0	32533	235	ncbi
